SK_ID_CURR,risk_band,final_pd,intervention,case_summary,customer_message,latency_seconds
342416,RED,0.8648350813193494,Shift EMI due date to align with actual income arrival pattern,"This customer is at high financial risk because their income is not arriving on time, which is unusual for them, suggesting they may be experiencing salary delays or irregular payments. Additionally, they are withdrawing large amounts of cash and have significantly depleted their savings over the past 60 days, indicating they may be struggling to manage their finances. This behavior suggests they may not have enough money to repay their loan, making them a high-risk borrower.","Hi, I'm here to help you manage your finances. I noticed your income has been arriving a bit late, and I want to support you in getting back on track - let's discuss shifting your EMI due date to align with your actual income arrival pattern. By doing so, we can also explore options like extending your loan tenure to 48 months, which could reduce your monthly EMI to Rs 6,544, saving you Rs 10,624 every month. Reply STOP to opt out of these messages.",1.61
438935,RED,0.5548340548340548,Shift EMI due date to align with actual income arrival pattern,"This customer is at financial risk because their income is not arriving on time, which is unusual for them, suggesting they may be experiencing salary delays or irregular payments. Additionally, they have recently been withdrawing large amounts of cash from ATMs, indicating they may have exhausted their digital credit options. Overall, their financial stress is worsening quickly, making them more likely to default on their loan.","Hi, I'm here to help you manage your finances. I noticed your income hasn't been arriving on time, and I want to support you in getting back on track. We can adjust your EMI due date to align with your actual income, and even consider extending your tenure to 48 months, which could lower your monthly EMI to Rs 1,999, saving you Rs 7,487 every month. Reply STOP to opt out of these messages.",1.06
209397,RED,0.772642390289449,Shift EMI due date to align with actual income arrival pattern,"This customer is at high financial risk because their income is not arriving on time, which may be due to salary delays or irregular payments from gig work. Additionally, they have recently been withdrawing large amounts of cash from ATMs, suggesting they may be relying less on digital credit and more on cash, which could indicate that their financial situation is becoming more unstable. Their financial stress is also worsening quickly, indicating a rapidly deteriorating financial situation.","Hi, I'm here to help you manage your finances. I noticed your income hasn't been arriving on time, and I want to support you in getting back on track. We can adjust your EMI due date to align with your actual income, and even consider extending your tenure to 48 months, which could lower your monthly EMI to Rs 27,008, saving you Rs 25,921 each month. Reply STOP to opt out of these messages.",0.98
288476,RED,0.4456263360390052,Shift EMI due date to align with actual income arrival pattern,"This customer is at financial risk because their income is not arriving on time, which is unusual for them, suggesting they may be experiencing salary delays or irregular payments. Additionally, they have been withdrawing large amounts of cash and have depleted their savings, indicating they may be struggling to manage their finances. This behavior suggests they may not be able to repay their loan, making them a high-risk customer.","Hi, I'm here to help you manage your finances. I noticed your income hasn't been arriving on time, and I want to support you in getting back on track. Consider shifting your EMI due date to align with your actual income, and we can also discuss extending your loan tenure to 48 months, which could lower your monthly EMI to Rs 8,292, saving you Rs 16,058 every month. Reply STOP to opt out of these messages.",1.04
153321,RED,0.43001443001443,Shift EMI due date to align with actual income arrival pattern,"This customer is at financial risk because their income is not arriving on time, which is unusual for them, suggesting they may be experiencing salary delays or irregular payments. Additionally, they have been withdrawing large amounts of cash and have depleted their savings, indicating they may be struggling to manage their finances and have little left to fall back on. This behavior suggests they may have difficulty repaying their loan.","Hi, I'm here to help you manage your finances. I noticed your income hasn't been arriving on time, and I want to support you in getting back on track. We can adjust your EMI due date to align with your actual income, and even consider extending your loan tenure to 48 months, which could lower your monthly EMI to Rs 11,313, saving you Rs 28,332 each month. Reply STOP to opt out of these messages.",1.08
125406,RED,0.4727550035720467,Shift EMI due date to align with actual income arrival pattern,"This customer is at financial risk because their income is not arriving on time, which is unusual for them, suggesting they may be experiencing salary delays or irregular payments. Additionally, they have recently been withdrawing more cash than usual from ATMs, which may indicate that they are having trouble accessing credit through digital channels. Overall, their financial stress is worsening quickly, which raises concerns about their ability to repay their loan.","Hi, I've noticed some changes in your financial pattern and I'm here to help. To make your loan repayments more manageable, I suggest we shift your EMI due date to align with when your income actually arrives, and we could also consider extending your loan tenure to 48 months, which would lower your monthly EMI to Rs 10,234, saving you Rs 40,229 every month. This way, you'll have more control over your finances. Reply STOP to opt out of these messages.",1.15
212041,RED,0.7671957671957671,Shift EMI due date to align with actual income arrival pattern,"This customer is at high financial risk because their income is not arriving on time, which is different from their usual pattern, suggesting they may be experiencing salary delays or irregular payments. Additionally, they are withdrawing more cash than usual, indicating they may be relying less on digital credit and more on cash, which could be a sign of financial strain. Overall, their financial stress is worsening quickly, making them more likely to default on their loan.","Hi, I'm here to help with your loan. I noticed your income hasn't been arriving on time lately, and I want to support you in managing your finances. We can adjust your EMI due date to align with your actual income, and even consider extending your tenure to 48 months, which could reduce your monthly EMI to Rs 16,622, saving you Rs 6,836 every month. Reply STOP to opt out of these messages.",1.15
232619,RED,0.5072150072150072,Shift EMI due date to align with actual income arrival pattern,"This customer is at financial risk because their income is not arriving on time, which is unusual for them, suggesting they may be experiencing salary delays or irregular payments. Additionally, they have recently been withdrawing large amounts of cash, which may indicate that they are relying less on digital credit and more on cash to manage their finances. Overall, their financial stress is increasing rapidly, which raises concerns about their ability to repay their loan.","Hi, I'm your relationship manager at the bank. I've noticed that your income has been arriving a bit later than usual, and I want to help you manage your finances better. We can adjust your EMI due date to match your new income pattern, and also consider extending your loan tenure to 48 months, which could lower your monthly EMI to Rs 25,173, saving you Rs 26,150 every month. Reply STOP to opt out of these messages.",0.91
232099,RED,0.772642390289449,Shift EMI due date to align with actual income arrival pattern,"This customer is at high financial risk because their income is not arriving on time, which is unusual for them, suggesting they may be experiencing salary delays or irregular payments. Additionally, they are withdrawing large amounts of cash and have depleted their savings, indicating they may be struggling to manage their finances and have little to no backup funds. This behavior suggests they may not be able to repay their loan on time.","I've noticed that your income has been arriving a bit later than usual, and I want to help you manage your finances better. Considering your current situation, I think it would be beneficial to adjust your EMI due date to align with when you actually receive your income, and we could also explore extending your loan tenure to 48 months, which would reduce your monthly EMI to Rs 9,523, saving you Rs 13,944 each month. This could help take some pressure off and give you more breathing room. Reply STOP to opt out of these messages.",1.23
272283,RED,0.8648350813193494,Shift EMI due date to align with actual income arrival pattern,"This customer is at high financial risk because their income is not arriving on time, which is a change from their usual pattern, suggesting they may be experiencing salary delays or irregular payments. Additionally, they are withdrawing large amounts of cash and have depleted their savings, indicating they may be struggling to manage their finances and have no safety net. This behavior suggests they may not be able to repay their loan.","Hi, I've noticed some changes in your income pattern and I'm here to help. I think shifting your EMI due date to align with when you actually receive your income could make a big difference - for example, if we extend your loan tenure to 48 months, your new EMI would be Rs 10,594, which is a monthly saving of Rs 13,868 from your current Rs 24,462 EMI. This could help you manage your finances more comfortably. Reply STOP to opt out of these messages.",1.15
